e50d0c183689e4053ccb35f8b29d98c8	e50d0c183689e4053ccb35f8b29da3f1	76612bd9a41885add4f6b0b7683fc62a	858ed4564f11795ec13dda4c10a0d72a	e50d0c183689e4053ccb35f8b29db9d8	858ed4564f11795ec13dda4c10a0fe2d	76612bd9a41885add4f6b0b768400213	76612bd9a41885add4f6b0b768400cc4	76612bd9a41885add4f6b0b768400e2f	76612bd9a41885add4f6b0b768401727	858ed4564f11795ec13dda4c10a11c73	858ed4564f11795ec13dda4c10a126b4	76612bd9a41885add4f6b0b768402828	858ed4564f11795ec13dda4c10a14413	858ed4564f11795ec13dda4c10a15a35	88af6472fb03642dd5eaf8cddcc0d7ce	76612bd9a41885add4f6b0b7684037d2	88af6472fb03642dd5eaf8cddcc0ffd2	858ed4564f11795ec13dda4c10a18ec7
k__Bacteria	290488	35658	149	198	20020	35196	8061	48240	4631	560	36481	369	94181	59401	135	295	36108	109861	3103
p__Firmicutes	164206	15254	99	48	7703	3012	1891	35690	2234	82	13680	12	38	20557	100	88	14284	42377	2999
p__Proteobacteria	6293	4652	7	17	4096	289	1026	241	273	58	3291	175	93979	287	33	204	456	483	104
p__Actinobacteria	15086	4721	7	3	193	30455	881	7815	972	4	242	158	4	6017	1	3	2898	61177	0
p__Bacteroidetes	100437	11030	35	129	7874	1433	3453	4490	1150	410	18663	19	160	11334	1	0	17725	2435	0
p__Fusobacteria	4374	1	1	0	152	6	810	1	1	6	214	5	0	20966	0	0	704	5	0
p__Synergistetes	0	0	0	0	1	0	0	0	0	0	282	0	0	0	0	0	0	100	0
p__Tenericutes	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0
p__TM7	0	0	0	0	0	0	0	1	1	0	1	0	0	240	0	0	41	3283	0
p__Verrucomicrobia	86	0	0	1	1	0	0	0	0	0	108	0	0	0	0	0	0	0	0
p__Cyanobacteria	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes;c__Bacilli	1149	2050	46	6	225	264	128	30841	287	75	63	4	28	14440	69	87	392	34996	2999
NA;c__Betaproteobacteria	91	1530	0	0	0	13	36	240	168	0	89	1	0	116	0	176	52	1	0
Actinobacteriota;c__Actinobacteria	2016	4721	7	2	193	27731	461	6705	929	3	133	158	4	2849	1	3	2470	15599	0
Bacteroidota;c__Bacteroidia	100437	11030	35	129	7874	1432	3453	4490	1150	410	18663	19	160	11334	1	0	17725	2435	0
Actinobacteriota;c__Coriobacteriia	13070	0	0	1	0	2724	420	1110	43	1	109	0	0	3168	0	0	428	45578	0
Firmicutes_A;c__Clostridia	161389	13204	53	42	7478	2462	1740	4848	1871	7	13493	7	10	6038	31	1	13471	7155	0
NA;c__Epsilonproteobacteria	3874	0	0	14	4095	70	957	0	70	3	1917	3	0	130	0	0	307	426	0
Proteobacteria;c__Gammaproteobacteria	708	3118	7	2	1	206	10	1	35	43	5	47	93956	10	33	28	56	56	102
Fusobacteriota;c__Fusobacteriia	4374	1	1	0	152	6	810	1	1	6	214	5	0	20966	0	0	704	5	0
Proteobacteria;c__Alphaproteobacteria	0	4	0	0	0	0	1	0	0	12	1198	124	23	0	0	0	0	0	2
NA;c__Flavobacteriia	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Synergistota;c__Synergistia	0	0	0	0	1	0	0	0	0	0	282	0	0	0	0	0	0	100	0
NA;c__Mollicutes	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0
NA;c__TM7-3	0	0	0	0	0	0	0	1	1	0	1	0	0	240	0	0	41	3283	0
NA;c__Erysipelotrichi	1668	0	0	0	0	286	23	1	76	0	124	1	0	79	0	0	421	226	0
NA;c__Deltaproteobacteria	1620	0	0	1	0	0	22	0	0	0	82	0	0	31	0	0	41	0	0
Verrucomicrobiota;c__Verrucomicrobiae	86	0	0	1	1	0	0	0	0	0	108	0	0	0	0	0	0	0	0
NA;c__Chloroplast	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes;Bacilli;o__Lactobacillales	1094	1895	46	6	182	88	127	30660	251	75	63	4	20	14412	69	85	281	34940	2811
NA;NA;o__Burkholderiales	90	1530	0	0	0	13	36	240	167	0	89	1	0	116	0	176	49	1	0
Actinobacteriota;Actinobacteria;o__Actinomycetales	211	4486	1	0	193	27561	65	748	711	2	126	157	4	600	0	0	1843	2172	0
Bacteroidota;Bacteroidia;o__Bacteroidales	100437	11030	35	129	7874	1432	3453	4490	1150	410	18663	19	160	11334	1	0	17725	2435	0
Actinobacteriota;Coriobacteriia;o__Coriobacteriales	13070	0	0	1	0	2724	420	1110	43	1	109	0	0	3168	0	0	428	45578	0
Firmicutes;Bacilli;o__Bacillales	23	155	0	0	43	161	0	84	2	0	0	0	8	28	0	0	111	56	188
NA;NA;o__Gemellales	0	0	0	0	0	15	1	0	0	0	0	0	0	0	0	2	0	0	0
Firmicutes_A;Clostridia;o__Clostridiales	160829	13204	53	42	7478	2462	1739	4848	1816	7	13493	7	10	6038	31	1	13437	7155	0
NA;NA;o__Bifidobacteriales	1805	235	6	2	0	170	396	5957	218	1	7	1	0	2249	1	3	627	13427	0
NA;NA;o__Halanaerobiales	475	0	0	0	0	0	1	0	55	0	0	0	0	0	0	0	34	0	0
Campylobacterota;Campylobacteria;o__Campylobacterales	3874	0	0	14	4095	70	957	0	70	3	1917	3	0	130	0	0	307	426	0
NA;NA;o__Enterobacteriales	693	3118	7	0	1	181	9	0	33	29	1	2	93931	3	33	1	47	48	102
Fusobacteriota;Fusobacteriia;o__Fusobacteriales	4374	1	1	0	152	6	810	1	1	6	214	5	0	20966	0	0	704	5	0
Proteobacteria;Gammaproteobacteria;o__Pseudomonadales	2	0	0	0	0	24	0	0	0	13	0	0	10	3	0	0	9	7	0
Proteobacteria;Alphaproteobacteria;o__Rhizobiales	0	4	0	0	0	0	1	0	0	12	0	121	23	0	0	0	0	0	2
NA;NA;o__Neisseriales	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0
NA;NA;o__Pasteurellales	0	0	0	2	0	1	0	0	1	1	4	0	15	4	0	0	0	1	0
Bacteroidota;Bacteroidia;o__Flavobacteriales	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Synergistota;Synergistia;o__Synergistales	0	0	0	0	1	0	0	0	0	0	282	0	0	0	0	0	0	100	0
Firmicutes;Bacilli;o__Mycoplasmatales	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
Firmicutes;Bacilli;o__Erysipelotrichales	1668	0	0	0	0	286	23	1	76	0	124	1	0	79	0	0	421	226	0
NA;NA;o__SHA-98	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfobacterota;Desulfovibrionia;o__Desulfovibrionales	1620	0	0	1	0	0	22	0	0	0	82	0	0	31	0	0	41	0	0
NA;NA;o__I025	0	0	0	0	0	0	0	1	0	0	1	0	0	240	0	0	41	3283	0
Proteobacteria;Alphaproteobacteria;o__RF32	0	0	0	0	0	0	0	0	0	0	1198	0	0	0	0	0	0	0	0
Verrucomicrobiota;Verrucomicrobiae;o__Verrucomicrobiales	86	0	0	1	1	0	0	0	0	0	108	0	0	0	0	0	0	0	0
NA;NA;o__Streptophyta	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria;Gammaproteobacteria;o__Xanthomonadales	13	0	0	0	0	0	1	1	1	0	0	45	0	0	0	27	0	0	0
NA;NA;o__Turicibacterales	32	0	0	0	0	0	0	97	34	0	0	0	0	0	0	0	0	0	0
Firmicutes;Bacilli;o__RF39	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria;Alphaproteobacteria;o__Caulobacterales	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Firmicutes;Bacilli;Lactobacillales;f__Lactobacillaceae	146	6	46	2	160	34	125	29284	74	73	25	3	7	14189	68	78	29	34921	0
NA;NA;NA;f__Alcaligenaceae	34	1530	0	0	0	12	36	240	167	0	84	1	0	116	0	0	49	0	0
NA;NA;NA;f__Prevotellaceae	37955	4117	0	113	5348	377	2279	2888	231	140	7225	13	0	9149	1	0	5907	796	0
Actinobacteriota;Actinobacteria;Corynebacteriales;f__Corynebacteriaceae	204	4486	1	0	192	27550	4	748	668	0	24	156	2	543	0	0	1726	2110	0
Actinobacteriota;Coriobacteriia;Coriobacteriales;f__Coriobacteriaceae	13070	0	0	1	0	2724	420	1110	43	1	109	0	0	3168	0	0	428	45578	0
Firmicutes;Bacilli;Bacillales;f__Bacillaceae	9	0	0	0	43	157	0	0	0	0	0	0	0	28	0	0	20	26	0
Firmicutes;Bacilli;Lactobacillales;f__Aerococcaceae	0	0	0	0	18	0	0	1	143	0	0	0	0	0	0	0	109	1	0
Firmicutes;Bacilli;Staphylococcales;f__Gemellaceae	0	0	0	0	0	15	1	0	0	0	0	0	0	0	0	2	0	0	0
Firmicutes;Bacilli;Lactobacillales;f__Streptococcaceae	948	1167	0	4	4	54	2	1375	33	2	38	1	11	223	1	7	143	17	311
Firmicutes_C;Negativicutes;Veillonellales;f__Veillonellaceae	16973	2408	0	12	491	369	695	788	136	5	1260	2	10	904	29	1	1243	4782	0
Actinobacteriota;Actinobacteria;Actinomycetales;f__Bifidobacteriaceae	1805	235	6	2	0	170	396	5957	218	1	7	1	0	2249	1	3	627	13427	0
NA;NA;NA;f__Halanaerobiaceae	475	0	0	0	0	0	1	0	55	0	0	0	0	0	0	0	34	0	0
Firmicutes_A;Clostridia;Peptostreptococcales;f__Peptostreptococcaceae	1744	877	0	0	0	44	127	371	0	0	0	0	0	291	0	0	152	0	0
NA;NA;NA;f__[Tissierellaceae]	2555	2137	0	4	5322	997	372	2188	144	0	3475	2	0	3450	2	0	2506	275	0
Actinobacteriota;Actinobacteria;Actinomycetales;f__Micrococcaceae	5	0	0	0	0	2	0	0	0	2	1	1	2	1	0	0	1	0	0
NA;NA;NA;f__Planococcaceae	13	155	0	0	0	4	0	84	2	0	0	0	8	0	0	0	89	30	187
Firmicutes_A;Clostridia;Clostridiales;f__Clostridiaceae	208	0	0	1	44	1	166	0	78	0	12	0	0	425	0	0	136	12	0
Bacteroidota;Bacteroidia;Bacteroidales;f__Bacteroidaceae	24326	5633	15	10	1994	966	863	1252	755	138	9340	5	102	247	0	0	11190	903	0
Campylobacterota;Campylobacteria;Campylobacterales;f__Campylobacteraceae	3874	0	0	14	4095	70	957	0	70	3	1917	3	0	130	0	0	307	426	0
Bacteroidota;Bacteroidia;Bacteroidales;f__Porphyromonadaceae	25513	827	20	1	530	85	80	194	164	90	861	0	0	126	0	0	0	128	0
Proteobacteria;Gammaproteobacteria;Enterobacterales;f__Enterobacteriaceae	693	3118	7	0	1	181	9	0	33	29	1	2	93931	3	33	1	47	48	102
Actinobacteriota;Actinobacteria;Actinomycetales;f__Actinomycetaceae	1	0	0	0	1	2	61	0	43	0	101	0	0	56	0	0	26	9	0
Fusobacteriota;Fusobacteriia;Fusobacteriales;f__Fusobacteriaceae	4374	1	0	0	152	3	205	0	1	0	211	5	0	1530	0	0	14	2	0
Firmicutes_A;Clostridia;Oscillospirales;f__Ruminococcaceae	107988	4047	53	14	606	125	180	965	1016	1	5631	3	0	516	0	0	5676	936	0
Proteobacteria;Gammaproteobacteria;Pseudomonadales;f__Moraxellaceae	2	0	0	0	0	0	0	0	0	0	0	0	10	3	0	0	9	0	0
Bacteroidota;Bacteroidia;Bacteroidales;f__Rikenellaceae	12454	447	0	1	0	2	140	153	0	0	686	1	0	53	0	0	444	98	0
NA;NA;NA;f__Bradyrhizobiaceae	0	0	0	0	0	0	1	0	0	1	0	121	0	0	0	0	0	0	0
Fusobacteriota;Fusobacteriia;Fusobacteriales;f__Leptotrichiaceae	0	0	1	0	0	3	605	1	0	6	3	0	0	19436	0	0	690	3	0
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;f__Neisseriaceae	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0
Firmicutes_A;Clostridia;Lachnospirales;f__Lachnospiraceae	21398	3449	0	8	925	440	109	257	353	1	2216	0	0	377	0	0	2831	355	0
Proteobacteria;Gammaproteobacteria;Enterobacterales;f__Pasteurellaceae	0	0	0	2	0	1	0	0	1	1	4	0	15	4	0	0	0	1	0
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;f__Burkholderiaceae	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
NA;NA;NA;f__[Weeksellaceae]	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;f__[Paraprevotellaceae]	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0
Synergistota;Synergistia;Synergistales;f__Dethiosulfovibrionaceae	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	100	0
Firmicutes;Bacilli;Mycoplasmatales;f__Mycoplasmataceae	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
NA;NA;NA;f__Carnobacteriaceae	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
Firmicutes;Bacilli;Erysipelotrichales;f__Erysipelotrichaceae	1668	0	0	0	0	286	23	1	76	0	124	1	0	79	0	0	421	226	0
Firmicutes_A;Clostridia;Eubacteriales;f__Eubacteriaceae	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfobacterota;Desulfovibrionia;Desulfovibrionales;f__Desulfovibrionaceae	1620	0	0	1	0	0	22	0	0	0	82	0	0	31	0	0	41	0	0
NA;NA;NA;f__[Mogibacteriaceae]	49	0	0	0	0	0	7	0	0	0	6	0	0	0	0	0	8	0	0
Firmicutes_A;Clostridia;Christensenellales;f__Christensenellaceae	220	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NA;NA;NA;f__Rs-045	0	0	0	0	0	0	0	1	0	0	1	0	0	240	0	0	41	3283	0
NA;NA;NA;f__Propionibacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
NA;NA;NA;f__[Odoribacteraceae]	2	1	0	0	0	0	12	0	0	42	279	0	58	1061	0	0	0	510	0
NA;NA;NA;f__Methylobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0
Firmicutes;Bacilli;Lactobacillales;f__Enterococcaceae	0	722	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2499
NA;NA;NA;f__[Barnesiellaceae]	0	5	0	1	2	1	7	1	0	0	193	0	0	0	0	0	14	0	0
NA;NA;NA;f__S24-7	186	0	0	3	0	0	72	0	0	0	78	0	0	696	0	0	170	0	0
NA;NA;NA;f__Verrucomicrobiaceae	86	0	0	1	1	0	0	0	0	0	108	0	0	0	0	0	0	0	0
NA;NA;NA;f__Oxalobacteraceae	56	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
Proteobacteria;Gammaproteobacteria;Pseudomonadales;f__Pseudomonadaceae	0	0	0	0	0	24	0	0	0	13	0	0	0	0	0	0	0	7	0
Proteobacteria;Alphaproteobacteria;Rhizobiales;f__Rhizobiaceae	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;f__Dermabacteraceae	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	48	0
NA;NA;NA;f__Comamonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0
NA;NA;NA;f__Peptococcaceae	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0
Firmicutes;Alicyclobacillia;Alicyclobacillales;f__Alicyclobacillaceae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria;Gammaproteobacteria;Xanthomonadales;f__Xanthomonadaceae	13	0	0	0	0	0	1	1	1	0	0	45	0	0	0	27	0	0	0
Firmicutes;Bacilli;Haloplasmatales;f__Turicibacteraceae	32	0	0	0	0	0	0	97	34	0	0	0	0	0	0	0	0	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;f__Brevibacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0
Firmicutes;Bacilli;Staphylococcales;f__Staphylococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1
NA;NA;NA;f__RF16	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Proteobacteria;Alphaproteobacteria;Caulobacterales;f__Caulobacteraceae	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
NA;NA;NA;f__F16	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
NA;NA;NA;f__Bartonellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;g__Lactobacillus	146	6	46	2	160	34	125	29284	74	73	25	3	7	14189	68	78	29	34921	0
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;g__Sutterella	34	1530	0	0	0	12	36	240	167	0	84	1	0	116	0	0	49	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;g__Prevotella	37956	4117	0	113	5348	377	2279	2889	231	140	7225	13	0	9150	1	0	5907	796	0
Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;g__Corynebacterium	204	4486	1	0	192	27550	4	748	668	0	24	156	2	543	0	0	1726	2110	0
Firmicutes;Bacilli;Bacillales;Bacillaceae_G;g__Bacillus	9	0	0	0	43	157	0	0	0	0	0	0	0	28	0	0	20	26	0
Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;g__Aerococcus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	109	1	0
Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;g__Streptococcus	942	1167	0	4	4	54	2	1375	33	2	38	1	11	223	1	7	143	17	311
Firmicutes_C;Negativicutes;Veillonellales;Dialisteraceae;g__Dialister	16929	322	0	0	412	6	483	788	125	3	1154	2	10	841	1	0	614	263	0
NA;NA;NA;NA;g__Gardnerella	707	234	6	1	0	76	367	5957	0	1	0	0	0	2132	1	0	131	13418	0
NA;NA;NA;NA;g__Peptostreptococcus	1671	877	0	0	0	43	125	371	0	0	0	0	0	290	0	0	144	0	0
