e50d0c183689e4053ccb35f8b29d98c8	e50d0c183689e4053ccb35f8b29da3f1	76612bd9a41885add4f6b0b7683fc62a	858ed4564f11795ec13dda4c10a0d72a	858ed4564f11795ec13dda4c10a0e1f1	e50d0c183689e4053ccb35f8b29dac3b	e50d0c183689e4053ccb35f8b29db9d8	858ed4564f11795ec13dda4c10a0fe2d	76612bd9a41885add4f6b0b768400213	76612bd9a41885add4f6b0b768400cc4	76612bd9a41885add4f6b0b768400e2f	76612bd9a41885add4f6b0b768401727	858ed4564f11795ec13dda4c10a11c73	76612bd9a41885add4f6b0b768402828	88af6472fb03642dd5eaf8cddcc0d7ce	76612bd9a41885add4f6b0b7684037d2	88af6472fb03642dd5eaf8cddcbfaba0	858ed4564f11795ec13dda4c10a1a09d	858ed4564f11795ec13dda4c10a1c38e	858ed4564f11795ec13dda4c10a1d475
k__Bacteria	137791	15299	56499	23	53165	84612	5008	42239	34587	42655	50	67834	33785	120876	15642	51443	29648	485	12657	34382
p__Firmicutes	137674	15113	49630	15	40304	84311	1975	23986	30626	11535	32	67645	4844	112799	4740	15002	29347	203	10540	18813
p__Proteobacteria	49	1	9	4	1481	19	2844	76	3	177	9	31	97	108	9	23	54	15	1	5
p__Actinobacteria	39	168	4656	2	5205	92	178	18168	3940	27772	0	115	22831	7466	7622	32590	0	112	1368	10990
p__Bacteroidetes	26	17	393	1	6050	161	4	3	17	3073	9	20	1033	433	400	100	245	44	8	104
p__Fusobacteria	1	0	1811	1	6	25	7	6	0	6	0	16	4980	70	111	25	2	47	164	2
p__Synergistetes	0	0	0	0	117	3	0	0	0	1	0	4	0	0	0	3	0	0	0	0
p__Tenericutes	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
p__TM7	1	0	0	0	0	1	0	0	0	91	0	3	0	0	2760	3700	0	64	575	4468
p__Verrucomicrobia	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Cyanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Firmicutes;c__Bacilli	137471	15068	47807	12	30978	83653	1519	18668	30588	10572	30	66806	2923	111708	1202	13442	29100	133	9252	15375
NA;c__Betaproteobacteria	1	0	0	0	179	3	717	36	2	4	0	10	9	6	4	1	0	6	0	2
Actinobacteriota;c__Actinobacteria	32	154	4510	1	5202	87	178	17350	3565	26407	0	112	15731	6863	6167	5926	0	89	1137	9987
Bacteroidota;c__Bacteroidia	25	17	393	1	6050	161	4	3	17	3073	9	20	1033	433	400	100	245	44	8	104
Actinobacteriota;c__Coriobacteriia	7	14	146	1	3	5	0	818	375	1365	0	3	7100	603	1455	26664	0	23	231	1003
Firmicutes_A;c__Clostridia	200	45	1823	3	9326	658	456	5318	38	963	2	839	1921	1091	3538	1560	247	70	1288	3438
NA;c__Epsilonproteobacteria	0	1	0	0	1040	7	2	0	1	173	0	9	36	70	0	21	36	0	1	1
Proteobacteria;c__Gammaproteobacteria	47	0	9	3	128	9	2125	40	0	0	9	12	43	30	5	1	18	9	0	1
Fusobacteriota;c__Fusobacteriia	1	0	1811	1	6	25	7	6	0	6	0	16	4980	70	111	25	2	47	164	2
Proteobacteria;c__Alphaproteobacteria	1	0	0	1	134	0	0	0	0	0	0	0	9	0	0	0	0	0	0	1
NA;c__Flavobacteriia	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Synergistota;c__Synergistia	0	0	0	0	117	3	0	0	0	1	0	4	0	0	0	3	0	0	0	0
NA;c__Mollicutes	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NA;c__TM7-3	1	0	0	0	0	1	0	0	0	91	0	3	0	0	2760	3700	0	64	575	4468
NA;c__Erysipelotrichi	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;c__Deltaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Verrucomicrobiota;c__Verrucomicrobiae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;c__Chloroplast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Firmicutes;Bacilli;o__Lactobacillales	137462	15056	47801	12	30974	83651	1516	18666	30587	10572	30	66794	2922	111708	1201	13440	29071	132	9252	15375
NA;NA;o__Burkholderiales	1	0	0	0	172	1	716	34	2	4	0	10	9	6	2	1	0	5	0	1
Actinobacteriota;Actinobacteria;o__Actinomycetales	21	152	0	1	4785	75	0	18	0	39	0	92	116	3	8	20	0	3	4	3
Bacteroidota;Bacteroidia;o__Bacteroidales	25	17	393	1	6050	161	4	3	17	3073	9	20	1033	433	400	100	245	44	8	104
Actinobacteriota;Coriobacteriia;o__Coriobacteriales	7	14	146	1	3	5	0	818	375	1365	0	3	7100	603	1455	26664	0	23	231	1003
Firmicutes;Bacilli;o__Bacillales	9	12	2	0	4	2	1	0	1	0	0	12	0	0	0	0	22	1	0	0
NA;NA;o__Gemellales	0	0	4	0	0	0	2	2	0	0	0	0	1	0	1	2	7	0	0	0
Firmicutes_A;Clostridia;o__Clostridiales	200	45	1823	3	9326	658	456	5318	38	963	2	839	1921	1091	3538	1560	247	70	1288	3438
NA;NA;o__Bifidobacteriales	11	2	4510	0	417	12	178	17332	3565	26368	0	20	15615	6860	6159	5906	0	86	1133	9984
Campylobacterota;Campylobacteria;o__Campylobacterales	0	1	0	0	1040	7	2	0	1	173	0	9	36	70	0	21	36	0	1	1
NA;NA;o__Enterobacteriales	41	0	6	3	55	6	669	11	0	0	9	1	9	15	0	0	2	9	0	0
Fusobacteriota;Fusobacteriia;o__Fusobacteriales	1	0	1811	1	6	25	7	6	0	6	0	16	4980	70	111	25	2	47	164	2
Proteobacteria;Gammaproteobacteria;o__Pseudomonadales	5	0	3	0	0	0	1456	0	0	0	0	0	0	15	0	0	0	0	0	0
Proteobacteria;Alphaproteobacteria;o__Rhizobiales	1	0	0	1	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NA;NA;o__Neisseriales	0	0	0	0	7	2	1	2	0	0	0	0	0	0	2	0	0	0	0	1
NA;NA;o__Pasteurellales	0	0	0	0	3	3	0	5	0	0	0	11	2	0	5	1	16	0	0	1
Bacteroidota;Bacteroidia;o__Flavobacteriales	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Synergistota;Synergistia;o__Synergistales	0	0	0	0	117	3	0	0	0	1	0	4	0	0	0	3	0	0	0	0
Firmicutes;Bacilli;o__Mycoplasmatales	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Firmicutes;Bacilli;o__Erysipelotrichales	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfobacterota;Desulfovibrionia;o__Desulfovibrionales	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
NA;NA;o__I025	0	0	0	0	0	1	0	0	0	91	0	3	0	0	2760	3700	0	64	575	4468
Proteobacteria;Alphaproteobacteria;o__Sphingomonadales	0	0	0	0	49	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
Verrucomicrobiota;Verrucomicrobiae;o__Verrucomicrobiales	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;o__Streptophyta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Proteobacteria;Gammaproteobacteria;o__Xanthomonadales	0	0	0	0	70	0	0	24	0	0	0	0	32	0	0	0	0	0	0	0
NA;NA;o__CW040	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;o__Aeromonadales	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;o__Rhodocyclales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Proteobacteria;Alphaproteobacteria;o__Caulobacterales	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes;Bacilli;Lactobacillales;f__Lactobacillaceae	137451	15042	47798	10	30659	83616	1502	18653	30580	10554	30	66786	2917	111702	1182	13435	28901	132	9246	15365
NA;NA;NA;f__Alcaligenaceae	0	0	0	0	0	0	0	0	2	3	0	8	0	4	0	0	0	0	0	0
NA;NA;NA;f__Prevotellaceae	14	8	393	1	6016	157	4	1	16	2885	6	11	1026	353	394	99	244	39	7	102
Actinobacteriota;Actinobacteria;Corynebacteriales;f__Corynebacteriaceae	20	143	0	0	4551	48	0	0	0	2	0	83	4	2	2	6	0	0	1	0
Actinobacteriota;Coriobacteriia;Coriobacteriales;f__Coriobacteriaceae	7	14	146	1	3	5	0	818	375	1365	0	3	7100	603	1455	26664	0	23	231	1003
Firmicutes;Bacilli;Bacillales;f__Bacillaceae	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Firmicutes;Bacilli;Lactobacillales;f__Aerococcaceae	0	5	0	0	73	6	0	0	0	1	0	0	0	3	0	0	0	0	1	0
Firmicutes;Bacilli;Staphylococcales;f__Gemellaceae	0	0	4	0	0	0	2	2	0	0	0	0	1	0	1	2	7	0	0	0
Firmicutes;Bacilli;Lactobacillales;f__Streptococcaceae	11	6	3	2	7	29	14	13	6	17	0	7	5	3	19	5	170	0	5	10
Firmicutes_C;Negativicutes;Veillonellales;f__Veillonellaceae	7	15	1821	2	490	28	451	5317	26	738	0	51	1042	1054	3242	1516	57	61	1162	3290
Actinobacteriota;Actinobacteria;Actinomycetales;f__Bifidobacteriaceae	11	2	4510	0	417	12	178	17332	3565	26368	0	20	15615	6860	6159	5906	0	86	1133	9984
Firmicutes_A;Clostridia;Peptostreptococcales;f__Peptostreptococcaceae	0	0	0	0	3	556	0	0	0	71	0	678	11	1	0	0	0	1	0	0
NA;NA;NA;f__[Tissierellaceae]	6	18	2	1	8635	67	4	0	11	120	1	67	625	13	225	43	34	2	109	139
Actinobacteriota;Actinobacteria;Actinomycetales;f__Micrococcaceae	0	1	0	1	0	3	0	1	0	0	0	0	2	0	1	0	0	0	0	1
NA;NA;NA;f__Planococcaceae	8	12	2	0	4	1	1	0	1	0	0	9	0	0	0	0	22	1	0	0
Firmicutes_A;Clostridia;Clostridiales;f__Clostridiaceae	0	4	0	0	46	0	0	0	0	0	0	21	240	0	70	1	0	6	7	0
Bacteroidota;Bacteroidia;Bacteroidales;f__Bacteroidaceae	1	8	0	0	2	0	0	2	1	3	3	8	1	1	0	0	1	1	0	1
Campylobacterota;Campylobacteria;Campylobacterales;f__Campylobacteraceae	0	1	0	0	1040	7	2	0	1	173	0	9	36	70	0	21	36	0	1	1
Bacteroidota;Bacteroidia;Bacteroidales;f__Porphyromonadaceae	9	1	0	0	20	3	0	0	0	2	0	1	0	59	5	1	0	0	1	0
Proteobacteria;Gammaproteobacteria;Enterobacterales;f__Enterobacteriaceae	41	0	6	3	55	6	669	11	0	0	9	1	9	15	0	0	2	9	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;f__Actinomycetaceae	0	5	0	0	37	2	0	0	0	37	0	1	110	1	3	14	0	3	3	2
Fusobacteriota;Fusobacteriia;Fusobacteriales;f__Fusobacteriaceae	0	0	0	1	0	24	6	4	0	0	0	15	11	1	3	5	0	1	1	1
Firmicutes_A;Clostridia;Oscillospirales;f__Ruminococcaceae	129	3	0	0	1	1	1	0	0	1	1	9	2	15	0	0	0	0	0	2
Proteobacteria;Gammaproteobacteria;Pseudomonadales;f__Moraxellaceae	0	0	0	0	0	0	721	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;f__Rikenellaceae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NA;NA;NA;f__Bradyrhizobiaceae	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Fusobacteriota;Fusobacteriia;Fusobacteriales;f__Leptotrichiaceae	1	0	1811	0	6	1	1	2	0	6	0	1	4969	69	108	20	2	46	163	1
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;f__Neisseriaceae	0	0	0	0	7	2	1	2	0	0	0	0	0	0	2	0	0	0	0	1
Firmicutes_A;Clostridia;Lachnospirales;f__Lachnospiraceae	51	0	0	0	5	1	0	1	1	11	0	7	0	8	1	0	0	0	8	6
Proteobacteria;Gammaproteobacteria;Enterobacterales;f__Pasteurellaceae	0	0	0	0	3	3	0	5	0	0	0	11	2	0	5	1	16	0	0	1
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;f__Burkholderiaceae	0	0	0	0	0	1	716	0	0	1	0	2	0	0	2	0	0	2	0	0
NA;NA;NA;f__[Weeksellaceae]	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;f__[Paraprevotellaceae]	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	4	0	0
Synergistota;Synergistia;Synergistales;f__Dethiosulfovibrionaceae	0	0	0	0	117	3	0	0	0	0	0	4	0	0	0	3	0	0	0	0
Firmicutes;Bacilli;Mycoplasmatales;f__Mycoplasmataceae	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Firmicutes;Bacilli;Erysipelotrichales;f__Erysipelotrichaceae	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfobacterota;Desulfovibrionia;Desulfovibrionales;f__Desulfovibrionaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
NA;NA;NA;f__Rs-045	0	0	0	0	0	1	0	0	0	91	0	3	0	0	2760	3700	0	64	575	4468
NA;NA;NA;f__Propionibacteriaceae	0	1	0	0	9	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
NA;NA;NA;f__Methylobacteriaceae	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes;Bacilli;Lactobacillales;f__Enterococcaceae	0	3	0	0	234	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;f__S24-7	0	0	0	0	12	0	0	0	0	182	0	0	6	20	0	0	0	0	0	0
Proteobacteria;Alphaproteobacteria;Sphingomonadales;f__Sphingomonadaceae	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NA;NA;NA;f__Verrucomicrobiaceae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;f__Oxalobacteraceae	0	0	0	0	6	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0
Proteobacteria;Gammaproteobacteria;Pseudomonadales;f__Pseudomonadaceae	5	0	3	0	0	0	735	0	0	0	0	0	0	15	0	0	0	0	0	0
Proteobacteria;Alphaproteobacteria;Rhizobiales;f__Rhizobiaceae	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;f__Dermabacteraceae	1	2	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;f__Comamonadaceae	1	0	0	0	166	0	0	34	0	0	0	0	9	0	0	1	0	0	0	1
Proteobacteria;Gammaproteobacteria;Xanthomonadales;f__Xanthomonadaceae	0	0	0	0	70	0	0	24	0	0	0	0	32	0	0	0	0	0	0	0
Proteobacteria;Gammaproteobacteria;Enterobacterales;f__Aeromonadaceae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;f__Rhodocyclaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;f__Brevibacteriaceae	0	0	0	0	139	12	0	17	0	0	0	0	0	0	0	0	0	0	0	0
